Quote,Author,Source URL
"
The only way to make sense out of change is to plunge into it, move with it, and join the dance.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
I have realized that the past and future are real illusions, that they exist in the present, which is what there is and all there is.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
But the attitude of faith is to let go, and become open to truth, whatever it might turn out to be.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
The ego is nothing other than the focus of conscious attention.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
Never pretend to a love which you do not actually feel, for love is not ours to command.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
No valid plans for the future can be made by those who have no capacity for living now.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
You don't look out there for God, something in the sky, you look in you.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
I owe my solitude to other people.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
You and I are all as much continuous with the physical universe as a wave is continuous with the ocean.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
But I'll tell you what hermits realize. If you go off into a far, far forest and get very quiet, you'll come to understand that you're connected with everything.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
We cannot be more sensitive to pleasure without being more sensitive to pain.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
Things are as they are. Looking out into it the universe at night, we make no comparisons between right and wrong stars, nor between well and badly arranged constellations.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
The reason we want to go on and on is because we live in an impoverished present.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
"
So then, the relationship of self to other is the complete realization that loving yourself is impossible without loving everything defined as other than yourself.

",Alan Watts,https://www.brainyquote.com/authors/alan-watts-quotes
